nombre,genero,edad,pais,anio,evento,medalla
pierre camara,m,26,france,1992,athletics men's triple jump,na
sekou abdoulaye camara,m,31,guinea,1992,judo men's half-middleweight,na
christopher camat,m,24,philippines,2004,boxing men's middleweight,na
elizabeth folake liz cambage,f,20,australia,2012,basketball women's basketball,bronze
elizabeth folake liz cambage,f,24,australia,2016,basketball women's basketball,na
ivn cambar rodrguez,m,24,cuba,2008,weightlifting men's middleweight,na
ivn cambar rodrguez,m,28,cuba,2012,weightlifting men's middleweight,bronze
asuka antonio aska cambridge,m,23,japan,2016,athletics men's 100 metres,na
ibrahim camejo savas,m,26,cuba,2008,athletics men's long jump,bronze
oscar camenzind,m,29,switzerland,2000,cycling men's road race individual,na
brendon mark cameron,m,23,new zealand,1996,cycling men's team pursuit 4000 metres,na
cynthia cameron,f,20,australia,2000,taekwondo women's featherweight,na
sean macpherson pero cameron,m,26,new zealand,2000,basketball men's basketball,na
sean macpherson pero cameron,m,30,new zealand,2004,basketball men's basketball,na
jean-claude cameroun,m,27,cameroon,2000,judo men's half-lightweight,na
jean-claude cameroun,m,31,cameroon,2004,judo men's extra-lightweight,na
tiago henrique de oliveira camilo,m,18,brazil,2000,judo men's lightweight,silver
tiago henrique de oliveira camilo,m,26,brazil,2008,judo men's half-middleweight,bronze
tiago henrique de oliveira camilo,m,30,brazil,2012,judo men's middleweight,na
tiago henrique de oliveira camilo,m,34,brazil,2016,judo men's middleweight,na
roberto cammarelle,m,24,italy,2004,boxing men's super-heavyweight,bronze
roberto cammarelle,m,28,italy,2008,boxing men's super-heavyweight,gold
roberto cammarelle,m,31,italy,2012,boxing men's super-heavyweight,silver
paolo camossi,m,26,italy,2000,athletics men's triple jump,na
martn nicols campaa delgado,m,23,uruguay,2012,football men's football,na
benit campargue,m,27,france,1992,judo men's half-lightweight,na
facundo campazzo,m,21,argentina,2012,basketball men's basketball,na
facundo campazzo,m,25,argentina,2016,basketball men's basketball,na
christopher lundy chris campbell,m,37,united states,1992,wrestling men's light-heavyweight freestyle,bronze
darren andrew campbell,m,27,great britain,2000,athletics men's 100 metres,na
darren andrew campbell,m,27,great britain,2000,athletics men's 200 metres,silver
darren andrew campbell,m,30,great britain,2004,athletics men's 100 metres,na
darren andrew campbell,m,30,great britain,2004,athletics men's 200 metres,na
juliet jean campbell,f,22,jamaica,1992,athletics women's 400 metres,na
juliet jean campbell,f,26,jamaica,1996,athletics women's 400 metres,na
juliet jean campbell,f,30,jamaica,2000,athletics women's 200 metres,na
kelsey rene campbell,f,27,united states,2012,wrestling women's lightweight freestyle,na
kemoy campbell,m,25,jamaica,2016,athletics men's 5000 metres,na
logan campbell,m,22,new zealand,2008,taekwondo men's featherweight,na
logan campbell,m,26,new zealand,2012,taekwondo men's featherweight,na
luke campbell,m,24,great britain,2012,boxing men's bantamweight,gold
simoya kadine campbell,f,22,jamaica,2016,athletics women's 800 metres,na
veronica angella campbell-brown,f,22,jamaica,2004,athletics women's 100 metres,bronze
veronica angella campbell-brown,f,22,jamaica,2004,athletics women's 200 metres,gold
veronica angella campbell-brown,f,26,jamaica,2008,athletics women's 200 metres,gold
veronica angella campbell-brown,f,30,jamaica,2012,athletics women's 100 metres,bronze
veronica angella campbell-brown,f,30,jamaica,2012,athletics women's 200 metres,na
veronica angella campbell-brown,f,34,jamaica,2016,athletics women's 200 metres,na
filippo campioli,m,26,italy,2008,athletics men's high jump,na
kvin campion,m,28,france,2016,athletics men's 20 kilometres walk,na
alfredo jos campo vintimilla,m,23,ecuador,2016,cycling men's bmx,na
hctor fernando campos bermudez,m,23,argentina,2012,judo men's middleweight,na
jorge francisco campos navarrete,m,29,mexico,1996,football men's football,na
jorge luis campos velsquez,m,21,paraguay,1992,football men's football,na
lus henry campos cruz,m,20,peru,2016,athletics men's 50 kilometres walk,na
rosiclia cardoso campos,f,22,brazil,1992,judo women's middleweight,na
rosiclia cardoso campos,f,26,brazil,1996,judo women's middleweight,na
astrid roxana camposeco hernndez,f,21,guatemala,2012,weightlifting women's super-heavyweight,na
amsulvara amsulvarayev,m,23,azerbaijan,2008,wrestling men's middleweight freestyle,na
catarina juliana camufal,f,32,angola,2012,basketball women's basketball,na
yasemin can,f,19,turkey,2016,athletics women's 5000 metres,na
yasemin can,f,19,turkey,2016,athletics women's 10000 metres,na
david canal valero,m,21,spain,2000,athletics men's 400 metres,na
david canal valero,m,25,spain,2004,athletics men's 200 metres,na
david canal valero,m,25,spain,2004,athletics men's 400 metres,na
omar daro caas espinoza,m,22,colombia,1992,football men's football,na
fabian cancellara,m,23,switzerland,2004,cycling men's road race individual,na
fabian cancellara,m,23,switzerland,2004,cycling men's individual time trial,na
fabian cancellara,m,27,switzerland,2008,cycling men's road race individual,silver
fabian cancellara,m,27,switzerland,2008,cycling men's individual time trial,gold
fabian cancellara,m,31,switzerland,2012,cycling men's road race individual,na
fabian cancellara,m,31,switzerland,2012,cycling men's individual time trial,na
fabian cancellara,m,35,switzerland,2016,cycling men's road race individual,na
fabian cancellara,m,35,switzerland,2016,cycling men's individual time trial,gold
vincent philippe antoine candela,m,22,france,1996,football men's football,na
antonio candreva,m,21,italy,2008,football men's football,na
hersony gadiel caneln vera,m,23,venezuela,2012,cycling men's sprint,na
hersony gadiel caneln vera,m,23,venezuela,2012,cycling men's keirin,na
hersony gadiel caneln vera,m,23,venezuela,2012,cycling men's team sprint,na
hersony gadiel caneln vera,m,27,venezuela,2016,cycling men's sprint,na
hersony gadiel caneln vera,m,27,venezuela,2016,cycling men's keirin,na
hersony gadiel caneln vera,m,27,venezuela,2016,cycling men's team sprint,na
mara magda cang valencia,f,29,ecuador,1992,judo women's half-heavyweight,na
tue cantez,f,21,turkey,2012,basketball women's basketball,na
tue cantez,f,25,turkey,2016,basketball women's basketball,na
gregor cankar,m,21,slovenia,1996,athletics men's long jump,na
gregor cankar,m,25,slovenia,2000,athletics men's long jump,na
gregor cankar,m,29,slovenia,2004,athletics men's long jump,na
fabio cannavaro,m,22,italy,1996,football men's football,na
emilia cano camacho,f,24,spain,1992,athletics women's 10 kilometres walk,na
juan manuel cano ceres,m,20,argentina,2008,athletics men's 20 kilometres walk,na
juan manuel cano ceres,m,24,argentina,2012,athletics men's 20 kilometres walk,na
juan manuel cano ceres,m,28,argentina,2016,athletics men's 20 kilometres walk,na
rodolfo cano,m,31,guatemala,1996,judo men's middleweight,na
shane lewis cansdell-sherriff,m,21,australia,2004,football men's football,na
noemi cantele,f,23,italy,2004,cycling women's road race individual,na
noemi cantele,f,27,italy,2008,cycling women's road race individual,na
noemi cantele,f,31,italy,2012,cycling women's road race individual,na
noemi cantele,f,31,italy,2012,cycling women's individual time trial,na
aldo canti,m,31,san marino,1992,athletics men's 200 metres,na
dominique fabien canti,m,25,san marino,1992,athletics men's 100 metres,na
jean pierre cantin,m,25,canada,1992,judo men's half-lightweight,na
ernesto canto gudio,m,32,mexico,1992,athletics men's 20 kilometres walk,na
flvio vianna de ulha canto,m,21,brazil,1996,judo men's half-middleweight,na
flvio vianna de ulha canto,m,29,brazil,2004,judo men's half-middleweight,bronze
karol-ann canuel,f,28,canada,2016,cycling women's road race individual,na
karol-ann canuel,f,28,canada,2016,cycling women's individual time trial,na
cao lei,f,24,china,2008,weightlifting women's heavyweight,gold
cao ngc phng trnh,f,23,vietnam,1996,judo women's extra-lightweight,na
cao shuo,m,20,china,2012,athletics men's triple jump,na
cao shuo,m,24,china,2016,athletics men's triple jump,na
cao zhongrong,m,26,china,2008,modern pentathlon men's individual,na
cao zhongrong,m,30,china,2012,modern pentathlon men's individual,silver
cao zhongrong,m,34,china,2016,modern pentathlon men's individual,na
libor capalini,m,31,czech republic,2004,modern pentathlon men's individual,bronze
joan capdevila mndez,m,22,spain,2000,football men's football,silver
anhel alberta cape,f,22,guinea bissau,2000,athletics women's 800 metres,na
anhel alberta cape,f,26,guinea bissau,2004,athletics women's 800 metres,na
john capel jr.,m,21,united states,2000,athletics men's 200 metres,na
christophe capelle,m,28,france,1996,cycling men's team pursuit 4000 metres,gold
christophe capelle,m,33,france,2000,cycling men's road race individual,na
christophe capelle,m,33,france,2000,cycling men's points race,na
christophe capelle,m,33,france,2000,cycling men's madison,na
adler capelli,m,18,italy,1992,cycling men's 1000 metres time trial,na
adler capelli,m,22,italy,1996,cycling men's team pursuit 4000 metres,na
adler capelli,m,26,italy,2000,cycling men's team pursuit 4000 metres,na
joo francisco capindica,m,21,angola,1992,athletics men's 400 metres,na
gianluca capitano,m,24,italy,1996,cycling men's sprint,na
gianluca capitano,m,24,italy,1996,cycling men's 1000 metres time trial,na
tereza apkov,f,25,czech republic,2012,athletics women's 1500 metres,na
rene capo,m,35,united states,1996,judo men's half-heavyweight,na
dean capobianco,m,22,australia,1992,athletics men's 200 metres,na
dean capobianco,m,26,australia,1996,athletics men's 200 metres,na
teodorico caporaso,m,28,italy,2016,athletics men's 50 kilometres walk,na
manuel fabrizio cappai,m,19,italy,2012,boxing men's light-flyweight,na
manuel fabrizio cappai,m,23,italy,2016,boxing men's light-flyweight,na
alessandra cappellotto,f,27,italy,1996,cycling women's road race individual,na
alessandra cappellotto,f,32,italy,2000,cycling women's road race individual,na
valeria cappellotto,f,22,italy,1992,cycling women's road race individual,na
valeria cappellotto,f,30,italy,2000,cycling women's road race individual,na
corina oana cprioriu,f,26,romania,2012,judo women's lightweight,silver
corina oana cprioriu,f,30,romania,2016,judo women's lightweight,na
antonella capriotti,f,30,italy,1992,athletics women's long jump,na
dumitru captari,m,27,romania,2016,weightlifting men's middleweight,na
nuno fernando capucho gonalves da rocha,m,24,portugal,1996,football men's football,na
norfalia carabal villegas,f,28,colombia,1992,athletics women's 400 metres,na
norfalia carabal villegas,f,36,spain,2000,athletics women's 400 metres,na
bruno carabetta,m,25,france,1992,judo men's lightweight,na
roberto caracciolo mandje (-mandje),m,22,equatorial guinea,2004,athletics men's 1500 metres,na
pedro filipe neto da silva caravana,m,21,portugal,1996,judo men's extra-lightweight,na
pedro filipe neto da silva caravana,m,25,portugal,2000,judo men's half-lightweight,na
leonardo carcamo gutirrez,m,30,honduras,1996,judo men's extra-lightweight,na
tssia pereira de souza carcavalli,f,20,brazil,2012,basketball women's basketball,na
cludia carceroni-saintagne,f,29,brazil,1992,cycling women's road race individual,na
cludia carceroni-saintagne,f,37,brazil,2000,cycling women's road race individual,na
alejandro manuel crdeas robles,m,21,mexico,1996,athletics men's 400 metres,na
alejandro manuel crdeas robles,m,25,mexico,2000,athletics men's 400 metres,na
alejandro manuel crdeas robles,m,29,mexico,2004,athletics men's 400 metres,na
oscar crdenas,m,25,cuba,2008,judo men's half-middleweight,na
regla mara crdeas telo,f,21,cuba,1996,athletics women's long jump,na
regla mara crdeas telo,f,21,cuba,1996,athletics women's heptathlon,na
juan carlos cardona rivas,m,30,colombia,2004,athletics men's marathon,na
juan carlos cardona rivas,m,34,colombia,2008,athletics men's marathon,na
juan carlos cardona rivas,m,38,colombia,2012,athletics men's marathon,na
andr fernando dos santos martins cardoso,m,23,portugal,2008,cycling men's road race individual,na
andr fernando dos santos martins cardoso,m,31,portugal,2016,cycling men's road race individual,na
ngela snia  monteiro cardoso,f,33,angola,2012,basketball women's basketball,na
augusto manuel ferreira cardoso pereira,m,35,portugal,2008,athletics men's 50 kilometres walk,na
daniela bruno stoffel cardoso,f,24,portugal,2016,athletics women's 20 kilometres walk,na
manuel antnio leal cardoso,m,29,portugal,2012,cycling men's road race individual,na
rogrio sampaio cardoso,m,24,brazil,1992,judo men's half-lightweight,gold
jos saturnino cardozo otaz,m,33,paraguay,2004,football men's football,silver
dillon carew,m,21,guyana,1992,boxing men's light-welterweight,na
adrian david carew-dodson,m,21,great britain,1992,boxing men's welterweight,na
euda mara caras morales,f,20,guatemala,2004,taekwondo women's flyweight,na
mayelis yesenia caripa castillo,f,23,venezuela,2004,wrestling women's flyweight freestyle,na
mayelis yesenia caripa castillo,f,27,venezuela,2008,wrestling women's flyweight freestyle,na
mayelis yesenia caripa castillo,f,31,venezuela,2012,wrestling women's flyweight freestyle,na
gillian carleton,f,22,canada,2012,cycling women's team pursuit,bronze
juan carlos javier,m,27,spain,1992,weightlifting men's light-heavyweight,na
agnete synnve carlsen,f,25,norway,1996,football women's football,bronze
anna julia kristina carlsson,f,21,sweden,1996,football women's football,na
tina arman,f,26,slovenia,2004,athletics women's long jump,na
adriana carmona gutirrez,f,26,venezuela,2000,taekwondo women's heavyweight,na
adriana carmona gutirrez,f,30,venezuela,2004,taekwondo women's heavyweight,bronze
adriana carmona gutirrez,f,34,venezuela,2008,taekwondo women's heavyweight,na
samuel carmona heredia,m,20,spain,2016,boxing men's light-flyweight,na
priscilla andreia stevaux carnaval,f,22,brazil,2016,cycling women's bmx,na
ryan carneli,m,22,australia,2008,taekwondo men's flyweight,na
david raymond carney,m,24,australia,2008,football men's football,na
james monroe j'me carney,m,23,united states,1992,cycling men's points race,na
james monroe j'me carney,m,31,united states,2000,cycling men's points race,na
jonas t. carney,m,29,united states,2000,cycling men's 1000 metres time trial,na
jonas t. carney,m,29,united states,2000,cycling men's team sprint,na
karen julia carney,f,24,great britain,2012,football women's football,na
ellie madison carpenter,f,16,australia,2016,football women's football,na
kenneth michael ken carpenter,m,27,united states,1992,cycling men's sprint,na
amanda mildred carr,f,26,thailand,2016,cycling women's bmx,na
brian carr,m,23,great britain,1992,boxing men's featherweight,na
vera carrara,f,24,italy,2004,cycling women's points race,na
vera carrara,f,28,italy,2008,cycling women's road race individual,na
vera carrara,f,28,italy,2008,cycling women's points race,na
jos alirio carrasco lemus,m,24,colombia,2000,athletics men's marathon,na
jos alirio carrasco lemus,m,28,colombia,2004,athletics men's marathon,na
ana carrascosa zaragoza,f,28,spain,2008,judo women's half-lightweight,na
ana carrascosa zaragoza,f,32,spain,2012,judo women's half-lightweight,na
mariano natalio carrera,m,20,argentina,2000,boxing men's middleweight,na
sara maree carrigan,f,23,australia,2004,cycling women's road race individual,gold
sara maree carrigan,f,27,australia,2008,cycling women's road race individual,na
edna guadalupe carrillo torres,f,24,mexico,2016,judo women's extra-lightweight,na
juan carlos carrillo palacio,m,23,colombia,2016,boxing men's light-heavyweight,na
yeseida isaid carrillo torres,f,22,colombia,2016,athletics women's 20 kilometres walk,na
lorenzo carri esteban,m,22,spain,1996,weightlifting men's heavyweight i,na
mnica carri  esteban,f,23,spain,2000,weightlifting women's heavyweight,na
javier adolfo carriqueo inostroza,m,29,argentina,2008,athletics men's 1500 metres,na
javier adolfo carriqueo inostroza,m,33,argentina,2012,athletics men's 5000 metres,na
mark carroll,m,28,ireland,2000,athletics men's 5000 metres,na
mark carroll,m,32,ireland,2004,athletics men's 5000 metres,na
nicole nickey carroll,f,28,australia,2000,athletics women's marathon,na
nyla jane carroll,f,30,new zealand,1996,athletics women's 10000 metres,na
gavin carrow,m,31,canada,1992,wrestling men's heavyweight freestyle,na
michael carruth,m,25,ireland,1992,boxing men's welterweight,gold
hamish carson,m,27,new zealand,2016,athletics men's 1500 metres,na
carolena jean carstens salceda,f,16,panama,2012,taekwondo women's flyweight,na
carolena jean carstens salceda,f,20,panama,2016,taekwondo women's featherweight,na
timothy christopher tim carswell,m,24,new zealand,1996,cycling men's team pursuit 4000 metres,na
timothy christopher tim carswell,m,28,new zealand,2000,cycling men's team pursuit 4000 metres,na
reinier cartaya jorge,m,23,cuba,2004,cycling men's team sprint,na
hamish clive carter,m,29,new zealand,2000,triathlon men's olympic distance,na
hamish clive carter,m,33,new zealand,2004,triathlon men's olympic distance,gold
james raymond carter gaudino,m,28,puerto rico,1992,basketball men's basketball,na
lelia kymberly kym carter (-begel),f,28,united states,1992,athletics women's heptathlon,na
lamark carter,m,30,united states,2000,athletics men's triple jump,na
vincent lamar vince carter,m,23,united states,2000,basketball men's basketball,gold
louise carton,f,22,belgium,2016,athletics women's 5000 metres,na
deirdre susan caruana (-farrugia),f,19,malta,1992,athletics women's 100 metres,na
deirdre susan caruana (-farrugia),f,19,malta,1992,athletics women's 200 metres,na
damiano caruso,m,28,italy,2016,cycling men's road race individual,na
damiano caruso,m,28,italy,2016,cycling men's individual time trial,na
oliver caruso,m,18,germany,1992,weightlifting men's middleweight,na
oliver caruso,m,22,germany,1996,weightlifting men's middle-heavyweight,bronze
florian carvalho,m,23,france,2012,athletics men's 1500 metres,na
florian carvalho,m,27,france,2016,athletics men's 1500 metres,na
miguel ngelo henriques carvalho,m,21,portugal,2016,athletics men's 50 kilometres walk,na
paulo santos carvalho,m,22,brazil,2008,boxing men's light-flyweight,na
david carver,m,28,mauritius,2016,athletics men's marathon,na
nelkis teresa casabona gonzlez,f,28,cuba,2012,athletics women's 200 metres,na
arturo casado alda,m,25,spain,2008,athletics men's 1500 metres,na
francesco casagrande,m,25,italy,1996,cycling men's road race individual,na
francesco casagrande,m,25,italy,1996,cycling men's individual time trial,na
francesco casagrande,m,29,italy,2000,cycling men's road race individual,na
giovanni nicola casale,m,28,italy,2008,judo men's half-lightweight,na
jol casamayor johnson,m,21,cuba,1992,boxing men's bantamweight,gold
tudor casapu,m,28,unified team,1992,weightlifting men's middleweight,gold
paolo casarsa,m,29,italy,2004,athletics men's decathlon,na
fabio casartelli,m,21,italy,1992,cycling men's road race individual,gold
helena casas roige,f,28,spain,2016,cycling women's sprint,na
helena casas roige,f,28,spain,2016,cycling women's keirin,na
helena casas roige,f,28,spain,2016,cycling women's team sprint,na
nicoletta caselin,f,23,italy,1996,basketball women's basketball,na
conor patrick casey,m,19,united states,2000,football men's football,na
swintayla marie swin cash,f,24,united states,2004,basketball women's basketball,gold
swintayla marie swin cash,f,32,united states,2012,basketball women's basketball,gold
eddie casiano ojeda,m,19,puerto rico,1992,basketball men's basketball,na
eddie casiano ojeda,m,31,puerto rico,2004,basketball men's basketball,na
miriam casillas garca,f,24,spain,2016,triathlon women's olympic distance,na
arnaud casquette,m,22,mauritius,2000,athletics men's long jump,na
lucas anthony luke casserly,m,22,australia,1996,football men's football,na
edwin cassiani tejedor,m,19,colombia,1992,boxing men's light-welterweight,na
francisco geovanis cassiani gmez,m,22,colombia,1992,football men's football,na
jorge castaeda reyes,m,22,mexico,1992,football men's football,na
ral castaeda,m,21,mexico,2004,boxing men's light-flyweight,na
bruno miguel gomes castanheira,m,23,portugal,2000,cycling men's road race individual,na
carlos castao panadero,m,25,spain,2004,cycling men's individual pursuit 4000 metres,na
carlos castao panadero,m,25,spain,2004,cycling men's team pursuit 4000 metres,bronze
lucia castanyeda gomez,f,31,nicaragua,2012,weightlifting women's middleweight,na
jorge castelblanco,m,28,panama,2016,athletics men's marathon,na
roberto castelli,m,23,italy,1992,boxing men's light-heavyweight,na
jorge castelln velarde,m,27,bolivia,1996,athletics men's 100 metres,na
asnage castelly,m,38,haiti,2016,wrestling men's middleweight freestyle,na
luigi castiglione,m,25,italy,1992,boxing men's light-flyweight,na
carles castillejo salvador,m,25,spain,2004,athletics men's 5000 metres,na
carles castillejo salvador,m,29,spain,2008,athletics men's 10000 metres,na
carles castillejo salvador,m,33,spain,2012,athletics men's marathon,na
carles castillejo salvador,m,37,spain,2016,athletics men's marathon,na
agustin castillo,m,22,dominican republic,1992,boxing men's bantamweight,na
carolina castillo hidalgo,f,21,colombia,2012,wrestling women's flyweight freestyle,na
carolina castillo hidalgo,f,25,colombia,2016,wrestling women's flyweight freestyle,na
darrel akim castillo,m,19,guatemala,2012,judo men's heavyweight,na
gilbert lenin castillo rivera,m,19,dominican republic,2008,boxing men's welterweight,na
jos martn castillo garca,m,19,mexico,1996,boxing men's flyweight,na
juan jos castillo izarra,m,24,peru,1992,athletics men's 10000 metres,na
julio csar castillo torres,m,24,ecuador,2012,boxing men's heavyweight,na
julio csar castillo torres,m,28,ecuador,2016,boxing men's heavyweight,na
junior castillo martnez,m,26,dominican republic,2012,boxing men's middleweight,na
liset castillo iglesias,f,19,cuba,1992,basketball women's basketball,na
liset castillo iglesias,f,27,cuba,2000,basketball women's basketball,na
maria de jess castillo nicasio,f,21,mexico,2004,football women's football,na
nabor castillo prez,m,21,mexico,2012,judo men's extra-lightweight,na
vctor manuel castillo petit,m,23,venezuela,2004,athletics men's long jump,na
yalennis castillo ramrez,f,22,cuba,2008,judo women's half-heavyweight,silver
yalennis castillo ramrez,f,30,cuba,2016,judo women's half-heavyweight,na
mara carlota castrejana fernndez,f,19,spain,1992,basketball women's basketball,na
mara carlota castrejana fernndez,f,27,spain,2000,athletics women's triple jump,na
mara carlota castrejana fernndez,f,31,spain,2004,athletics women's triple jump,na
mara carlota castrejana fernndez,f,35,spain,2008,athletics women's triple jump,na
daniela castrignan,f,23,italy,2004,taekwondo women's heavyweight,na
ngela melania castro chirivechz,f,23,bolivia,2016,athletics women's 20 kilometres walk,na
arles antonio castro laverde,m,29,colombia,2008,cycling men's team pursuit 4000 metres,na
arles antonio castro laverde,m,33,colombia,2012,cycling men's team pursuit 4000 metres,na
augusto castro herrera,m,21,colombia,2008,cycling men's bmx,na
cristina castro salvador,f,23,spain,1992,athletics women's 100 metres,na
dionsio da silva castro,m,28,portugal,1992,athletics men's marathon,na
domingos da silva castro,m,28,portugal,1992,athletics men's 5000 metres,na
domingos da silva castro,m,28,portugal,1992,athletics men's 10000 metres,na
domingos da silva castro,m,32,portugal,1996,athletics men's marathon,na
domingos da silva castro,m,36,portugal,2000,athletics men's marathon,na
eugenio castro quintana,m,21,cuba,1992,cycling men's team pursuit 4000 metres,na
lus joel castro rivera,m,25,puerto rico,2016,athletics men's high jump,na
milton elicer castro herrera,m,24,colombia,2000,taekwondo men's heavyweight,na
nelson castro velsquez,m,22,colombia,1996,weightlifting men's flyweight,na
nelson castro velsquez,m,26,colombia,2000,weightlifting men's bantamweight,na
nelson castro velsquez,m,30,colombia,2004,weightlifting men's bantamweight,na
vctor hugo castro,m,25,argentina,2000,boxing men's light-welterweight,na
wagner castropil,m,26,brazil,1992,judo men's middleweight,na
jonathan castroviejo nicols,m,25,spain,2012,cycling men's road race individual,na
jonathan castroviejo nicols,m,25,spain,2012,cycling men's individual time trial,na
jonathan castroviejo nicols,m,29,spain,2016,cycling men's road race individual,na
jonathan castroviejo nicols,m,29,spain,2016,cycling men's individual time trial,na
camille marie catala,f,21,france,2012,football women's football,na
tamika devonne catchings,f,25,united states,2004,basketball women's basketball,gold
tamika devonne catchings,f,29,united states,2008,basketball women's basketball,gold
tamika devonne catchings,f,33,united states,2012,basketball women's basketball,gold
tamika devonne catchings,f,37,united states,2016,basketball women's basketball,gold
adnan ati,m,21,germany,2000,boxing men's light-middleweight,na
stephanie-elise steph catley,f,22,australia,2016,football women's football,na
kelly catlin,f,20,united states,2016,cycling women's team pursuit,silver
martin peter cattalini,m,26,australia,2000,basketball men's basketball,na
martin peter cattalini,m,30,australia,2004,basketball men's basketball,na
marino cattedra,m,27,italy,1992,judo men's extra-lightweight,na
anua ctun,f,27,romania,1996,athletics women's marathon,na
anua ctun,f,31,romania,2000,athletics women's marathon,na
sylvain caudron,m,31,france,2000,athletics men's 50 kilometres walk,na
steven roy caulker,m,20,great britain,2012,football men's football,na
fabien causeur,m,25,france,2012,basketball men's basketball,na
terrance davan cauthen,m,20,united states,1996,boxing men's lightweight,bronze
alessandro cavallaro,m,20,italy,2000,athletics men's 200 metres,na
filipa lopes celestino soares cavalleri,f,18,portugal,1992,judo women's lightweight,na
filipa lopes celestino soares cavalleri,f,22,portugal,1996,judo women's lightweight,na
filipa lopes celestino soares cavalleri,f,26,portugal,2000,judo women's lightweight,na
pablo oscar cavallero rodrguez,m,22,argentina,1996,football men's football,silver
edinson roberto cavani gmez,m,25,uruguay,2012,football men's football,na
cinzia cavazzuti,f,27,italy,2000,judo women's lightweight,na
cinzia cavazzuti,f,30,italy,2004,judo women's lightweight,na
felismina cavela,f,19,angola,2012,athletics women's 800 metres,na
mark simon cavendish,m,23,great britain,2008,cycling men's madison,na
mark simon cavendish,m,27,great britain,2012,cycling men's road race individual,na
mark simon cavendish,m,31,great britain,2016,cycling men's omnium,silver
elston cawley,m,20,jamaica,1996,athletics men's 200 metres,na
amlie caze,f,19,france,2004,modern pentathlon women's individual,na
amlie caze,f,23,france,2008,modern pentathlon women's individual,na
amlie caze,f,27,france,2012,modern pentathlon women's individual,na
saa ao,f,27,serbia,2016,basketball women's basketball,bronze
j. matilde ceballos jimnez,m,35,panama,1992,weightlifting men's featherweight,na
pedro francisco ceballos fuentes,m,25,venezuela,2016,wrestling men's light-heavyweight freestyle,na
nicolai ceban,m,22,moldova,2008,wrestling men's heavyweight freestyle,na
nicolai ceban,m,26,moldova,2012,wrestling men's heavyweight freestyle,na
nicolai ceban,m,30,moldova,2016,wrestling men's heavyweight freestyle,na
elisabeth cebrin scheurer,f,21,spain,1992,basketball women's basketball,na
elisabeth cebrin scheurer,f,33,spain,2004,basketball women's basketball,na
elena cecchini,f,24,italy,2016,cycling women's road race individual,na
serghei cechir,m,25,moldova,2016,weightlifting men's lightweight,na
kateina echov,f,24,czech republic,2012,athletics women's 100 metres,na
machel cedenio,m,20,trinidad and tobago,2016,athletics men's 400 metres,na
henry carlos cejudo,m,21,united states,2008,wrestling men's featherweight freestyle,gold
zamandosi elizabeth cele,f,21,south africa,2012,football women's football,na
blagoja billy celeski,m,23,australia,2008,football men's football,na
somoza celestin,m,23,haiti,1996,judo men's middleweight,na
recep elik,m,25,turkey,2008,athletics men's 20 kilometres walk,na
jeena elnova-prokopuka,f,19,latvia,1996,athletics women's 5000 metres,na
jeena elnova-prokopuka,f,23,latvia,2000,athletics women's 5000 metres,na
jeena elnova-prokopuka,f,23,latvia,2000,athletics women's 10000 metres,na
jeena elnova-prokopuka,f,27,latvia,2004,athletics women's 10000 metres,na
jeena elnova-prokopuka,f,39,latvia,2016,athletics women's marathon,na
matthew matt celotti,m,29,australia,2008,judo men's half-heavyweight,na
jan elstka,m,30,czech republic,2012,triathlon men's olympic distance,na
mariusz cendrowski,m,22,poland,2000,boxing men's light-welterweight,na
gerhardus engelbertus erik cent,m,30,netherlands,1992,cycling men's team pursuit 4000 metres,na
jess centeno moyer,m,25,spain,1992,modern pentathlon men's individual,na
jess centeno moyer,m,25,spain,1992,modern pentathlon men's team,na
leopoldo centeno moyer,m,25,spain,1992,modern pentathlon men's individual,na
leopoldo centeno moyer,m,25,spain,1992,modern pentathlon men's team,na
yesenia centeno sousa,f,37,spain,2008,athletics women's marathon,na
matthew gerald matt centrowitz jr.,m,22,united states,2012,athletics men's 1500 metres,na
matthew gerald matt centrowitz jr.,m,26,united states,2016,athletics men's 1500 metres,gold
daiva epelien,f,22,lithuania,1992,cycling women's road race individual,na
jolanda eplak (steblovnik-),f,27,slovenia,2004,athletics women's 800 metres,bronze
matja ceraj,m,24,slovenia,2008,judo men's heavyweight,na
matja ceraj,m,28,slovenia,2012,judo men's heavyweight,na
natalia cerche (nijelscaia-),f,28,moldova,2004,athletics women's 10000 metres,na
natalia cerche (nijelscaia-),f,36,moldova,2012,athletics women's marathon,na
vitalie cerches,m,27,moldova,2000,athletics men's 800 metres,na
jos manuel cerezo moreno,m,27,spain,2000,athletics men's 800 metres,na
larisa ceri,f,25,bosnia and herzegovina,2016,judo women's heavyweight,na
ivan cerioli,m,21,italy,1992,cycling men's team pursuit 4000 metres,na
deniss erkovskis,m,21,latvia,2000,modern pentathlon men's individual,na
deniss erkovskis,m,25,latvia,2004,modern pentathlon men's individual,na
deniss erkovskis,m,29,latvia,2008,modern pentathlon men's individual,na
deniss erkovskis,m,33,latvia,2012,modern pentathlon men's individual,na
nehomar andrs cermeo,m,21,venezuela,2000,boxing men's bantamweight,na
marua ernjul,f,24,slovenia,2016,athletics women's high jump,na
dionicio cern pizarro,m,26,mexico,1992,athletics men's marathon,na
dionicio cern pizarro,m,30,mexico,1996,athletics men's marathon,na
